state,scenario,recharge_tag,slr_m,status,sec,perm_valid_pix,gate_pix,swi_pix,SWI not accelerated,Lateral-dominated,Mixed,Vertical-dominated,pixel_area_km2,perm_valid_area_km2,gate_area_km2,swi_area_km2,SWI not accelerated_area_km2,Lateral-dominated_area_km2,Mixed_area_km2,Vertical-dominated_area_km2
OR,0_0ft,BCC-CSM2-MR_ssp585_NearFuture_2030-2059,0,processed,9.538655996,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,CNRM-ESM2-1_ssp126_FarFuture_2070-2099,0,processed,8.6181705,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,CNRM-ESM2-1_ssp126_Historical_1980-2009,0,processed,9.261767864,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,CNRM-ESM2-1_ssp126_NearFuture_2030-2059,0,processed,8.51467514,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,CNRM-ESM2-1_ssp245_FarFuture_2070-2099,0,processed,9.29911685,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,CNRM-ESM2-1_ssp245_Historical_1980-2009,0,processed,8.653846502,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,CNRM-ESM2-1_ssp245_NearFuture_2030-2059,0,processed,8.761177778,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,CNRM-ESM2-1_ssp585_FarFuture_2070-2099,0,processed,8.659666777,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,CNRM-ESM2-1_ssp585_Historical_1980-2009,0,processed,9.129668713,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,CNRM-ESM2-1_ssp585_NearFuture_2030-2059,0,processed,9.821883202,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,EC-Earth3_ssp245_FarFuture_2070-2099,0,processed,8.986356258,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,EC-Earth3_ssp245_Historical_1980-2009,0,processed,10.31395841,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,EC-Earth3_ssp245_NearFuture_2030-2059,0,processed,10.0248332,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,EC-Earth3_ssp585_FarFuture_2070-2099,0,processed,9.920182228,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,EC-Earth3_ssp585_Historical_1980-2009,0,processed,9.991961002,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,EC-Earth3_ssp585_NearFuture_2030-2059,0,processed,9.746902704,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,MPI-ESM1-2-HR_ssp126_FarFuture_2070-2099,0,processed,9.021194935,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,MPI-ESM1-2-HR_ssp126_Historical_1980-2009,0,processed,10.30814266,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,MPI-ESM1-2-HR_ssp126_NearFuture_2030-2059,0,processed,10.13263321,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,MPI-ESM1-2-HR_ssp245_FarFuture_2070-2099,0,processed,8.886962414,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,MPI-ESM1-2-HR_ssp245_Historical_1980-2009,0,processed,8.955070734,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,MPI-ESM1-2-HR_ssp245_NearFuture_2030-2059,0,processed,8.9416399,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,MPI-ESM1-2-HR_ssp585_FarFuture_2070-2099,0,processed,10.03953338,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,MPI-ESM1-2-HR_ssp585_Historical_1980-2009,0,processed,10.30985141,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,MPI-ESM1-2-HR_ssp585_NearFuture_2030-2059,0,processed,8.832184315,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,NorESM2-MM_ssp126_FarFuture_2070-2099,0,processed,9.312594175,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,NorESM2-MM_ssp126_Historical_1980-2009,0,processed,8.400917292,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,NorESM2-MM_ssp126_NearFuture_2030-2059,0,processed,8.591573477,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,NorESM2-MM_ssp245_FarFuture_2070-2099,0,processed,8.400401354,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,NorESM2-MM_ssp245_Historical_1980-2009,0,processed,9.456616163,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,NorESM2-MM_ssp245_NearFuture_2030-2059,0,processed,8.43432188,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,NorESM2-MM_ssp585_FarFuture_2070-2099,0,processed,8.455593824,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
OR,0_0ft,NorESM2-MM_ssp585_Historical_1980-2009,0,processed,8.570525169,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
